model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob,wins_in_bin,cumulative_bets_onwards,cumulative_wins_onwards,cumulative_wr_onwards
gradient_boosting__without_odds,prob_H_and_U35,[0.00-0.05),0.025,81,6.172839506172839,0.036216672007005804,5.0,109495,32751.0,29.910954838120464
gradient_boosting__without_odds,prob_H_and_U35,[0.05-0.10),0.07500000000000001,447,10.738255033557047,0.07966805187633759,48.0,109414,32746.0,29.92852834189409
gradient_boosting__without_odds,prob_H_and_U35,[0.10-0.15),0.125,1315,13.079847908745249,0.12832066029383443,172.0,108967,32698.0,30.007249901346277
gradient_boosting__without_odds,prob_H_and_U35,[0.15-0.20),0.17500000000000002,3159,17.220639442861664,0.1794895062762855,544.0,107652,32526.0,30.214022962880392
gradient_boosting__without_odds,prob_H_and_U35,[0.20-0.25),0.225,9223,24.0919440529112,0.22972773063032761,2222.0,104493,31982.0,30.606834907601467
gradient_boosting__without_odds,prob_H_and_U35,[0.25-0.30),0.275,21699,28.33310290796811,0.2777882278969715,6148.0,95270,29760.0,31.237535425632412
gradient_boosting__without_odds,prob_H_and_U35,[0.30-0.35),0.32500000000000007,59619,30.978379375702374,0.31414551226462767,18469.0,73571,23612.0,32.09416753884003
gradient_boosting__without_odds,prob_H_and_U35,[0.35-0.40),0.375,10104,35.82739509105305,0.36985355202189535,3620.0,13952,5143.0,36.862098623853214
gradient_boosting__without_odds,prob_H_and_U35,[0.40-0.45),0.42500000000000004,2920,39.24657534246575,0.4206067263816349,1146.0,3848,1523.0,39.57900207900208
gradient_boosting__without_odds,prob_H_and_U35,[0.45-0.50),0.475,784,39.795918367346935,0.46817347970799944,312.0,928,377.0,40.625
gradient_boosting__without_odds,prob_H_and_U35,[0.50-0.55),0.525,144,45.13888888888889,0.5183995215724377,65.0,144,65.0,45.13888888888889
gradient_boosting__without_odds,prob_H_and_U45,[0.00-0.05),0.025,63,4.761904761904762,0.03658861374824765,3.0,109507,39472.0,36.045184326116136
gradient_boosting__without_odds,prob_H_and_U45,[0.05-0.10),0.07500000000000001,317,11.041009463722396,0.07886018225845694,35.0,109444,39469.0,36.0631921347904
gradient_boosting__without_odds,prob_H_and_U45,[0.10-0.15),0.125,843,14.590747330960854,0.12770585245040095,123.0,109127,39434.0,36.13587838023587
gradient_boosting__without_odds,prob_H_and_U45,[0.15-0.20),0.17500000000000002,1594,16.4366373902133,0.17728820314741553,262.0,108284,39311.0,36.30360902811126
gradient_boosting__without_odds,prob_H_and_U45,[0.20-0.25),0.225,3507,23.068149415454805,0.22814951597434244,809.0,106690,39049.0,36.600431155684696
gradient_boosting__without_odds,prob_H_and_U45,[0.25-0.30),0.275,8714,28.8730778058297,0.27868434718549,2516.0,103183,38240.0,37.06036847155055
gradient_boosting__without_odds,prob_H_and_U45,[0.30-0.35),0.32500000000000007,15787,33.43257110280611,0.32528775507148594,5278.0,94469,35724.0,37.81557971398025
gradient_boosting__without_odds,prob_H_and_U45,[0.35-0.40),0.375,55105,36.67543780056256,0.36963186630752454,20210.0,78682,30446.0,38.69500012709387
gradient_boosting__without_odds,prob_H_and_U45,[0.40-0.45),0.42500000000000004,14641,40.53684857591694,0.42204521879358103,5935.0,23577,10236.0,43.41519277261738
gradient_boosting__without_odds,prob_H_and_U45,[0.45-0.50),0.475,5155,45.024248302618815,0.47070799364436816,2321.0,8936,4301.0,48.13115487914055
gradient_boosting__without_odds,prob_H_and_U45,[0.50-0.55),0.525,2288,50.30594405594405,0.52270723267837,1151.0,3781,1980.0,52.36709865115049
gradient_boosting__without_odds,prob_H_and_U45,[0.55-0.60),0.5750000000000001,1101,54.13260672116258,0.5702289975159894,596.0,1493,829.0,55.525787006028125
gradient_boosting__without_odds,prob_H_and_U45,[0.60-0.65),0.625,330,58.484848484848484,0.617762550807193,193.0,392,233.0,59.43877551020408
gradient_boosting__without_odds,prob_H_and_U45,[0.65-0.70),0.675,62,64.51612903225806,0.6666143447081332,40.0,62,40.0,64.51612903225806
gradient_boosting__without_odds,prob_O15,[0.45-0.50),0.475,30,70.0,0.4803158721401716,21.0,109507,82883.0,75.68739897906069
gradient_boosting__without_odds,prob_O15,[0.50-0.55),0.525,106,75.47169811320755,0.5301547873699985,80.0,109477,82862.0,75.68895749792193
gradient_boosting__without_odds,prob_O15,[0.55-0.60),0.5750000000000001,336,75.0,0.5794559012915405,252.0,109371,82782.0,75.68916806100337
gradient_boosting__without_odds,prob_O15,[0.60-0.65),0.625,1388,74.63976945244957,0.6307570724107622,1036.0,109035,82530.0,75.69129178704085
gradient_boosting__without_odds,prob_O15,[0.65-0.70),0.675,5267,72.98272261249288,0.6804476697936154,3844.0,107647,81494.0,75.70485011193995
gradient_boosting__without_odds,prob_O15,[0.70-0.75),0.7250000000000001,19418,74.27129467504378,0.7298370537162955,14422.0,102380,77650.0,75.8448915803868
gradient_boosting__without_odds,prob_O15,[0.75-0.80),0.775,73668,75.81717977955151,0.7651626655795153,55853.0,82962,63228.0,76.21320604614161
gradient_boosting__without_odds,prob_O15,[0.80-0.85),0.8250000000000001,7614,78.80220646178093,0.816703917058396,6000.0,9294,7375.0,79.3522702819023
gradient_boosting__without_odds,prob_O15,[0.85-0.90),0.875,1348,80.78635014836796,0.8687788184388092,1089.0,1680,1375.0,81.84523809523809
gradient_boosting__without_odds,prob_O15,[0.90-0.95),0.925,332,86.14457831325302,0.9171524137266258,286.0,332,286.0,86.14457831325302
gradient_boosting__without_odds,prob_O25,[0.20-0.25),0.225,50,34.0,0.23283254915155344,17.0,109504,57063.0,52.11042518994739
gradient_boosting__without_odds,prob_O25,[0.25-0.30),0.275,178,53.93258426966292,0.2806250990788173,96.0,109454,57046.0,52.1186982659382
gradient_boosting__without_odds,prob_O25,[0.30-0.35),0.32500000000000007,580,48.10344827586207,0.33043744157459204,279.0,109276,56950.0,52.115743621655255
gradient_boosting__without_odds,prob_O25,[0.35-0.40),0.375,1969,48.24784154393093,0.37918109642051745,950.0,108696,56671.0,52.137153161109886
gradient_boosting__without_odds,prob_O25,[0.40-0.45),0.42500000000000004,6023,48.2815872488793,0.42910977297024316,2908.0,106727,55721.0,52.20890683707028
gradient_boosting__without_odds,prob_O25,[0.45-0.50),0.475,15403,49.59423488930727,0.4781352687564783,7639.0,100704,52813.0,52.443795678423896
gradient_boosting__without_odds,prob_O25,[0.50-0.55),0.525,64914,52.10278214252704,0.5188526786107325,33822.0,85301,45174.0,52.95834749885698
gradient_boosting__without_odds,prob_O25,[0.55-0.60),0.5750000000000001,15309,54.895812920504284,0.5680096526281767,8404.0,20387,11352.0,55.68254279688036
gradient_boosting__without_odds,prob_O25,[0.60-0.65),0.625,3228,56.226765799256505,0.6197712959047951,1815.0,5078,2948.0,58.05435210712879
gradient_boosting__without_odds,prob_O25,[0.65-0.70),0.675,1102,59.98185117967332,0.6718125983959914,661.0,1850,1133.0,61.24324324324324
gradient_boosting__without_odds,prob_O25,[0.70-0.75),0.7250000000000001,429,57.57575757575758,0.7213209873976901,247.0,748,472.0,63.101604278074866
gradient_boosting__without_odds,prob_O25,[0.75-0.80),0.775,198,63.13131313131313,0.7717774447475961,125.0,319,225.0,70.53291536050156
gradient_boosting__without_odds,prob_O25,[0.80-0.85),0.8250000000000001,85,84.70588235294117,0.8202482530009761,72.0,121,100.0,82.64462809917356
gradient_boosting__without_odds,prob_O25,[0.85-0.90),0.875,36,77.77777777777779,0.8575868804120221,28.0,36,28.0,77.77777777777779
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.00-0.05),0.025,34,11.76470588235294,0.04617023138624179,4.0,109506,12794.0,11.683378079739922
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.05-0.10),0.07500000000000001,90430,11.111356850602675,0.085913390703068,10048.0,109472,12790.0,11.683352820812628
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.10-0.15),0.125,15059,12.909223720034532,0.11350274475594746,1944.0,19042,2742.0,14.399747925638062
