model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob
poisson_pca_without_odds,prob_X2,[0.05-0.10),0.07500000000000001,145,8.96551724137931,0.07777259713832164
poisson_pca_without_odds,prob_X2,[0.10-0.15),0.125,321,13.707165109034266,0.12862339984831875
poisson_pca_without_odds,prob_X2,[0.15-0.20),0.17500000000000002,638,18.338557993730408,0.17654518436077385
poisson_pca_without_odds,prob_X2,[0.20-0.25),0.225,1118,22.719141323792485,0.2265571685975865
poisson_pca_without_odds,prob_X2,[0.25-0.30),0.275,1752,27.11187214611872,0.276857506801342
poisson_pca_without_odds,prob_X2,[0.30-0.35),0.32500000000000007,2854,30.483531885073585,0.3271046121399385
poisson_pca_without_odds,prob_X2,[0.35-0.40),0.375,4916,36.24898291293735,0.3771616542046227
poisson_pca_without_odds,prob_X2,[0.40-0.45),0.42500000000000004,8148,41.82621502209131,0.42691809265747976
poisson_pca_without_odds,prob_X2,[0.45-0.50),0.475,12323,46.433498336444046,0.4762686373092507
poisson_pca_without_odds,prob_X2,[0.50-0.55),0.525,15873,52.75625275625275,0.5257295294836699
poisson_pca_without_odds,prob_X2,[0.55-0.60),0.5750000000000001,22803,57.22054115686532,0.570233027559255
poisson_pca_without_odds,prob_X2,[0.60-0.65),0.625,14396,63.85106974159489,0.6238640568794763
poisson_pca_without_odds,prob_X2,[0.65-0.70),0.675,10334,67.80530288368493,0.6732434577826201
poisson_pca_without_odds,prob_X2,[0.70-0.75),0.7250000000000001,6615,72.6832955404384,0.7231665783126728
poisson_pca_without_odds,prob_X2,[0.75-0.80),0.775,3882,78.05255023183926,0.772563042276091
poisson_pca_without_odds,prob_X2,[0.80-0.85),0.8250000000000001,2100,82.33333333333334,0.8223212270657214
poisson_pca_without_odds,prob_X2,[0.85-0.90),0.875,950,88.73684210526316,0.8723487254602421
poisson_pca_without_odds,prob_X2,[0.90-0.95),0.925,475,89.89473684210526,0.9202135061720448
poisson_pca_without_odds,prob_X2,[0.95-1.00),0.9750000000000001,90,85.55555555555556,0.9668842711900033
poisson_pca_without_odds,prob_O15,[0.55-0.60),0.5750000000000001,70,55.714285714285715,0.5852248909180113
poisson_pca_without_odds,prob_O15,[0.60-0.65),0.625,1226,66.394779771615,0.6351719477537218
poisson_pca_without_odds,prob_O15,[0.65-0.70),0.675,9772,67.37617683176423,0.6822403842869846
poisson_pca_without_odds,prob_O15,[0.70-0.75),0.7250000000000001,35989,72.53327405596154,0.7282024019138685
poisson_pca_without_odds,prob_O15,[0.75-0.80),0.775,43416,77.21807628524047,0.7705531789649863
poisson_pca_without_odds,prob_O15,[0.80-0.85),0.8250000000000001,14953,82.29117902761988,0.8200611578901298
poisson_pca_without_odds,prob_O15,[0.85-0.90),0.875,3707,85.56784461828973,0.8684512058719269
poisson_pca_without_odds,prob_O15,[0.90-0.95),0.925,620,89.6774193548387,0.9132634365025617
poisson_pca_without_odds,prob_U15,[0.05-0.10),0.07500000000000001,620,10.32258064516129,0.08673656349743826
poisson_pca_without_odds,prob_U15,[0.10-0.15),0.125,3707,14.432155381710277,0.13154879412807308
poisson_pca_without_odds,prob_U15,[0.15-0.20),0.17500000000000002,14953,17.708820972380124,0.17993884210987007
poisson_pca_without_odds,prob_U15,[0.20-0.25),0.225,43416,22.781923714759536,0.22944682103501365
poisson_pca_without_odds,prob_U15,[0.25-0.30),0.275,35989,27.466725944038455,0.2717975980861314
poisson_pca_without_odds,prob_U15,[0.30-0.35),0.32500000000000007,9772,32.62382316823577,0.3177596157130154
poisson_pca_without_odds,prob_U15,[0.35-0.40),0.375,1226,33.605220228384994,0.36482805224627823
poisson_pca_without_odds,prob_U15,[0.40-0.45),0.42500000000000004,70,44.285714285714285,0.41477510908198867
poisson_pca_without_odds,prob_O25,[0.30-0.35),0.32500000000000007,229,34.49781659388647,0.3356047593176759
poisson_pca_without_odds,prob_O25,[0.35-0.40),0.375,2426,39.81863149216818,0.38252920444818933
poisson_pca_without_odds,prob_O25,[0.40-0.45),0.42500000000000004,11902,42.7743236430852,0.43020228315859205
poisson_pca_without_odds,prob_O25,[0.45-0.50),0.475,29312,47.44814410480349,0.4769434341979308
poisson_pca_without_odds,prob_O25,[0.50-0.55),0.525,36258,52.355342269292294,0.5228720183578192
